id,group,round,start_time,target_time,start_node,target_node,start_point,target_point,call_time_TimeMachine,path_TimeMachine,path_time_TimeMachine,cur_time,cur_node,cur_point,call_time_LastAPI,call_node_LastAPI,call_point_LastAPI,path_LastAPI,path_time_LastAPI,req_leaving_time,weather,event,action,reward,remain_time_from_TimeMachine,oracle,episode
240922_183055_00000010,history,0,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:25,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,60,4525,0
240922_183055_00000010,history,1,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:28,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,57,4525,0
240922_183055_00000010,history,2,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:31,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,54,4525,0
240922_183055_00000010,history,3,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:34,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,51,4525,0
240922_183055_00000010,history,4,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:37,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,48,4525,0
240922_183055_00000010,history,5,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:40,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,45,4525,0
240922_183055_00000010,history,6,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:43,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,42,4525,0
240922_183055_00000010,history,7,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:46,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,39,4525,0
240922_183055_00000010,history,8,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:49,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,36,4525,0
240922_183055_00000010,history,9,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:52,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,33,4525,0
240922_183055_00000010,history,10,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:55,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,30,4525,0
240922_183055_00000010,history,11,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 02:58,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,27,4525,0
240922_183055_00000010,history,12,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:01,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,24,4525,0
240922_183055_00000010,history,13,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:04,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,21,4525,0
240922_183055_00000010,history,14,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:07,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,18,4525,0
240922_183055_00000010,history,15,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:10,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,15,4525,0
240922_183055_00000010,history,16,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:13,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,12,4525,0
