refinedTimemachine,oracle,TimeMachineResult,target_8
6845.629518574179,6840,6950.616405445072,6945.861211140505
9043.529636240324,9051,9126.364402491772,9133.591667691102
4724.319750634918,4726,4744.0968317743,4745.7637304806385
9303.985049869403,9302,9350.478497715778,9348.488232201775
9336.93961269549,9335,9444.526670492536,9442.61417683137
6939.952433810996,6943,6994.480977439293,6996.918981190882
1351.000637292016,1351,1425.443435305522,1425.4427980135058
8682.821440175852,8677,8739.49287103818,8733.780786238814
6482.629666183134,6491,6553.785634248644,6561.878653073324
4011.70827589879,4011,4071.3789182351416,4070.6706423363516
8654.22985364732,8668,8692.755151711064,8706.134178616125
7566.163565222711,7568,7643.890948321061,7645.986999700638
1668.8123787112058,1667,1731.677838954058,1729.801613506779
3623.509566051199,3626,3646.2387233243267,3648.6931574697396
6971.8088264580765,6968,7025.635383264092,7022.454139129447
1920.7500111301692,1922,2001.7985955947745,2002.881151060515
5283.568648668697,5282,5296.7904370979495,5295.1410229065605
5027.403371975893,5029,5124.641540133622,5126.328001471555
3025.3156063422107,3028,3064.0799582111613,3066.9733271400246
7069.099608778603,7080,7142.235614694318,7151.567481411161
6614.9637415456045,6617,6679.071842704617,6681.3472112154495
10061.096642767581,10063,10092.786941898494,10094.677197859444
9652.67127722311,9657,9790.266800568252,9796.227610123491
318.1968547605518,297,433.4648077406444,402.4594177447289
8590.139193614328,8588,8633.919265031966,8631.894205571465
2387.7992437006505,2390,2443.1375414325494,2445.5708002461975
5920.642529848859,5921,5925.963695353391,5926.327931962236
8214.749205323431,8216,8244.15850814914,8245.667608806261
9902.8572208114,9889,9985.192283393138,9975.818954220162
3716.1791378026246,3715,3764.602524471232,3763.44206646054
5156.519044153591,5156,5173.255335041564,5172.736290887973
5419.03457895841,5419,5459.593156952016,5459.558577993606
4959.31685561941,4957,5005.925929165165,5003.671786356708
3455.985182496545,3451,3533.7236777172393,3531.3677427562197
9458.878372651727,9458,9471.10088559186,9470.222512940134
4259.591867556859,4261,4277.550963451889,4278.9174853727145
3733.046198614107,3741,3821.897439344469,3830.8787397668684
9415.041009347728,9410,9508.1030419684,9503.010642013538
3448.260161463144,3426,3556.0110242853066,3547.188186158941
5605.100761754959,5609,5654.4678739741685,5657.8980109935455
8698.814907802753,8701,8717.371793879192,8719.51677378987
9172.274104212214,9179,9226.107201484218,9232.916110831735
1875.4952763473132,1870,1994.2915550078924,1990.4388113619873
1202.196117000864,1197,1283.5736488655225,1279.7647863426519
